,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value
2022/1/3 8:15,BTC,0,47111.55,0.212504834,47111.55,10035.51645,10.03987166,0.100143585,0.355164519,47118.5,1.720934671,10035.51645
2022/1/3 8:30,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,47080.12,1.638078691,10035.51645
2022/1/3 8:45,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,47080.71,1.639352402,10035.51645
2022/1/3 9:00,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,47028.94,1.52758966,10035.51645
2022/1/3 9:15,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,46986.65,1.436292646,10035.51645
2022/1/3 9:30,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,47064.7,1.604789499,10035.51645
2022/1/3 9:45,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,46990,1.443524734,10035.51645
2022/1/3 10:00,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,47023.13,1.515046844,10035.51645
2022/1/3 10:15,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,46900,1.249229837,10035.51645
2022/1/3 10:30,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,47034.11,1.538750822,10035.51645
2022/1/3 10:45,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,46880.64,1.207434845,10035.51645
2022/1/3 11:00,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,46923.4,1.29974651,10035.51645
2022/1/3 11:15,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,46737.45,0.898311664,10035.51645
2022/1/3 11:30,BTC,0,47111.55,0.212504834,47111.55,10035.51645,0,0,0.355164519,46789,1.009599463,10035.51645
2022/1/3 11:45,BTC,1,46853.69,0.214145553,46853.69,0,0,0,0.355164519,46885.07,1.216998472,10035.51645
2022/1/3 12:00,BTC,0,46878.89,0.214145553,46878.89,10034.89025,1.380905605,0.013762937,0.348902542,46863.04,1.169439399,10034.89025
2022/1/3 12:15,BTC,0,46878.89,0.214145553,46878.89,10034.89025,0,0,0.348902542,46893.59,1.235391722,10034.89025
2022/1/3 12:30,BTC,0,46878.89,0.214145553,46878.89,10034.89025,0,0,0.348902542,46872.34,1.189516538,10034.89025
2022/1/3 12:45,BTC,0,46835.3,0,46835.3,10034.89025,0,0,0.348902542,46835.3,1.109553394,10034.89025
2022/1/3 13:00,BTC,0,46835.3,0,46835.3,10034.89025,0,0,0.348902542,47043.47,1.558957491,10034.89025
2022/1/3 13:15,BTC,0,46835.3,0,46835.3,10034.89025,0,0,0.348902542,47044.93,1.562109386,10034.89025
2022/1/3 13:30,BTC,0,47067.92,0,47067.92,10034.89025,0,0,0.348902542,47067.92,1.611740938,10034.89025
2022/1/3 13:45,BTC,0,47067.92,0,47067.92,10034.89025,0,0,0.348902542,47009.49,1.485600373,10034.89025
2022/1/3 14:00,BTC,0,47067.92,0,47067.92,10034.89025,0,0,0.348902542,46948.27,1.353436667,10034.89025
2022/1/3 14:15,BTC,0,47067.92,0,47067.92,10034.89025,0,0,0.348902542,46998.03,1.460860156,10034.89025
2022/1/3 14:30,BTC,0,47067.92,0,47067.92,10034.89025,0,0,0.348902542,46873.74,1.192538903,10034.89025
2022/1/3 14:45,BTC,0,47067.92,0,47067.92,10034.89025,0,0,0.348902542,46903.96,1.257778812,10034.89025
2022/1/3 15:00,BTC,0,47007.98,0,47007.98,10034.89025,0,0,0.348902542,47007.98,1.482340537,10034.89025
2022/1/3 15:15,BTC,0,47007.98,0,47007.98,10034.89025,0,0,0.348902542,46965.37,1.390352697,10034.89025
