,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value,same_percentage
2022-02-06 10:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3022.99,-18.07814985542359,21877.61559173377,0.0823
2022-02-06 10:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3017.72,-18.220964800316533,21877.61559173377,-1.2231
2022-02-06 11:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3023.85,-18.0548441907921,21877.61559173377,2.019
2022-02-06 11:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3015.82,-18.272454059386085,21877.61559173377,-1.3322
2022-02-06 11:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3021.71,-18.112837356270443,21877.61559173377,1.8424
2022-02-06 11:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3017.13,-18.236953570238125,21877.61559173377,-1.0707
2022-02-06 12:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3006.47,-18.52583541322841,21877.61559173377,-1.0106
2022-02-06 12:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3000.0,-18.701169890165286,21877.61559173377,-0.5109
2022-02-06 12:30:00,ETH ,1,3008.31,7.2636686926728755,3008.31,21860.111209338473,-8.753336158607775,-0.040026477553953006,118.60111209338473,3008.31,-18.475972130761043,21860.111209338476,2.0168
2022-02-06 12:45:00,ETH ,1,3008.31,7.2636686926728755,3008.31,21860.111209338473,0.0,0.0,118.60111209338473,3015.69,-18.275977008690848,21860.111209338476,1.5622
2022-02-06 13:00:00,ETH ,1,3008.31,7.2636686926728755,3008.31,21860.111209338473,0.0,0.0,118.60111209338473,3013.51,-18.335054158570653,21860.111209338476,-0.3463
2022-02-06 13:15:00,ETH ,1,3008.31,7.2636686926728755,3008.31,21860.111209338473,0.0,0.0,118.60111209338473,3013.64,-18.331531209265904,21860.111209338476,0.0231
2022-02-06 13:30:00,ETH ,1,3008.31,7.2636686926728755,3008.31,21860.111209338473,0.0,0.0,118.60111209338473,3020.41,-18.148066849318045,21860.111209338476,1.6451
2022-02-06 13:45:00,ETH ,1,3008.31,7.2636686926728755,3008.31,21860.111209338473,0.0,0.0,118.60111209338473,3021.32,-18.123406204184718,21860.111209338476,0.3192
2022-02-06 14:00:00,ETH ,-1,3017.36,7.257858919905728,3017.36,21908.33652517682,56.96936032208147,0.2607130249209749,119.08336525176819,3017.36,-18.230720659929702,21908.336525176823,-0.6281
2022-02-06 14:15:00,ETH ,-1,3017.36,7.257858919905728,3017.36,21908.33652517682,0.0,0.0,119.08336525176819,3003.84,-18.597107387624693,21908.336525176823,-2.3079
2022-02-06 14:30:00,ETH ,-1,3017.36,7.257858919905728,3017.36,21908.33652517682,0.0,0.0,119.08336525176819,3009.84,-18.434509727405022,21908.336525176823,1.1478
2022-02-06 14:45:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,94.41559964573472,0.43112986186600327,119.93988790212482,3003.15,-18.615806118549955,21993.988790212483,-2.2249
2022-02-06 15:00:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3000.7,-18.68220016313966,21993.988790212483,-0.2271
2022-02-06 15:15:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3003.07,-18.61797408735288,21993.988790212483,0.4429
2022-02-06 15:30:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3001.79,-18.652661588199752,21993.988790212483,-0.1834
2022-02-06 15:45:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3016.99,-18.24074751564326,21993.988790212483,1.4572
2022-02-06 16:00:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3004.89,-18.56865279708626,21993.988790212483,-1.3338
2022-02-06 16:15:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3000.36,-18.6914140305521,21993.988790212483,-0.7597
2022-02-06 16:30:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,2999.98,-18.701711882366016,21993.988790212483,-0.0997
2022-02-06 16:45:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3004.23,-18.586538539710414,21993.988790212483,0.4745
2022-02-06 17:00:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3014.56,-18.30659956803222,21993.988790212483,2.5819
2022-02-06 17:15:00,ETH ,1,3003.15,7.320710319063783,3003.15,21993.988790212483,0.0,0.0,119.93988790212482,3017.99,-18.21364790560665,21993.988790212483,0.6545
2022-02-06 17:30:00,ETH ,-1,3015.95,7.3148549221221835,3015.95,22070.0647282657,84.87353356930225,0.38604864891862634,120.70064728265702,3015.95,-18.268931110081336,22070.0647282657,-0.4428
2022-02-06 17:45:00,ETH ,-1,3015.95,7.3148549221221835,3015.95,22070.0647282657,0.0,0.0,120.70064728265702,3015.91,-18.270015094482797,22070.0647282657,-0.0069
2022-02-06 18:00:00,ETH ,-1,3015.95,7.3148549221221835,3015.95,22070.0647282657,0.0,0.0,120.70064728265702,3020.62,-18.142375931210356,22070.0647282657,1.1844
2022-02-06 18:15:00,ETH ,-1,3015.95,7.3148549221221835,3015.95,22070.0647282657,0.0,0.0,120.70064728265702,3016.89,-18.243457476646917,22070.0647282657,-0.9302
2022-02-06 18:30:00,ETH ,-1,3015.95,7.3148549221221835,3015.95,22070.0647282657,0.0,0.0,120.70064728265702,3003.48,-18.606863247237875,22070.0647282657,-1.3814
2022-02-06 18:45:00,ETH ,-1,3015.95,7.3148549221221835,3015.95,22070.0647282657,0.0,0.0,120.70064728265702,3004.09,-18.59033248511554,22070.0647282657,0.115
2022-02-06 19:00:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,59.81628982422159,0.2711375188580598,121.2105299219862,3006.57,-18.523125452224743,22121.05299219862,0.3466
2022-02-06 19:15:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3004.5,-18.579221645000533,22121.05299219862,-0.512
2022-02-06 19:30:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3005.01,-18.565400843881854,22121.05299219862,0.1331
2022-02-06 19:45:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3003.27,-18.612554165345564,22121.05299219862,-0.3009
2022-02-06 20:00:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3004.38,-18.58247359820492,22121.05299219862,0.3042
2022-02-06 20:15:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3013.4,-18.338035115674685,22121.05299219862,2.6364
2022-02-06 20:30:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3013.47,-18.336138142972132,22121.05299219862,0.0187
2022-02-06 20:45:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3001.73,-18.654287564801944,22121.05299219862,-1.3374
2022-02-06 21:00:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3010.43,-18.41852095748343,22121.05299219862,1.1174
2022-02-06 21:15:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3007.08,-18.509304651106078,22121.05299219862,-0.4298
2022-02-06 21:30:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3016.54,-18.252942340159727,22121.05299219862,1.3072
2022-02-06 21:45:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3015.8,-18.272996051586816,22121.05299219862,-0.1802
2022-02-06 22:00:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3013.27,-18.34155806497945,22121.05299219862,-0.3721
2022-02-06 22:15:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3016.62,-18.2507743713568,22121.05299219862,0.6739
2022-02-06 22:30:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,3020.53,-18.144814896113644,22121.05299219862,0.111
2022-02-06 22:45:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,2975.85,-19.355625472549455,22121.05299219862,-1.5035
2022-02-06 23:00:00,ETH ,1,3006.57,7.35462822119616,3006.57,22121.05299219862,0.0,0.0,121.2105299219862,2959.69,-19.793555170741094,22121.05299219862,-0.5832
2022-02-06 23:15:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,-8.746623995365516,-0.039555639815470785,121.03457947006378,2973.17,-19.42825242744757,22103.45794700638,1.3817
2022-02-06 23:30:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2990.12,-18.968914037327007,22103.45794700638,1.2982
2022-02-06 23:45:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2993.19,-18.885718234514606,22103.45794700638,0.1464
2022-02-07 00:00:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2981.01,-19.21579148476053,22103.45794700638,-0.8686
2022-02-07 00:15:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2988.22,-19.020403296396573,22103.45794700638,0.8604
2022-02-07 00:30:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2998.7,-18.736399383212884,22103.45794700638,1.3803
2022-02-07 00:45:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2999.0,-18.728269500201893,22103.45794700638,0.0358
2022-02-07 01:00:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,3003.22,-18.613909145847398,22103.45794700638,0.6965
2022-02-07 01:15:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,3005.51,-18.55185103886355,22103.45794700638,0.3907
2022-02-07 01:30:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,3003.37,-18.609844204341904,22103.45794700638,-0.4267
2022-02-07 01:45:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2999.89,-18.704150847269315,22103.45794700638,-0.7552
2022-02-07 02:00:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,3005.0,-18.565671839982226,22103.45794700638,0.7613
2022-02-07 02:15:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2996.3,-18.801438447300743,22103.45794700638,-1.1607
2022-02-07 02:30:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2987.65,-19.035850074117434,22103.45794700638,-2.7293
2022-02-07 02:45:00,ETH ,1,2973.17,7.431333076759006,2973.17,22103.457947006376,0.0,0.0,121.03457947006378,2992.63,-18.90089401613511,22103.45794700638,0.9988
2022-02-07 03:00:00,ETH ,1,2986.22,7.39292671995805,2986.22,22085.739925643382,-8.87663818419171,-0.04017557018266698,120.85739925643382,2986.22,-19.074602516469795,22085.739925643382,-0.9426
2022-02-07 03:15:00,ETH ,1,2986.22,7.39292671995805,2986.22,22085.739925643382,0.0,0.0,120.85739925643382,2991.24,-18.938562474086005,22085.739925643382,0.9384
