,price,qty
785,6.271,20.37
786,6.275,8.03
787,6.3,1946.74
788,6.31,10.0
789,6.319,1.49
790,6.33,492.45
791,6.337,53.91
792,6.35,222.62
793,6.369,8.03
794,6.38,133.57
795,6.39,106.69
796,6.395,300.0
797,6.4,212.17
798,6.41,10.0
799,6.421,35.0
800,6.44,35.0
801,6.443,155.34
802,6.45,1718.84
803,6.46,232.62
804,6.464,8.03
805,6.469,74.11
806,6.47,38.65
807,6.472,2.47
808,6.475,37.5
809,6.48,4.99
810,6.49,143.79
811,6.5,4124.72
812,6.502,29.0
813,6.51,175.59
814,6.512,222.31
815,6.519,1.5
816,6.555,99.28
817,6.56,8.8
818,6.59,155.72
819,6.6,400.78
820,6.61,10.0
821,6.615,118.56
822,6.617,76.72
823,6.63,100.0
824,6.635,150.84
825,6.64,24.82
826,6.643,3.83
827,6.654,1.0
828,6.658,8.03
829,6.66,1066.69
830,6.666,7414.52
831,6.68,456.06
832,6.69,202.42
833,6.692,4.46
834,6.696,23.44
835,6.7,513.85
836,6.71,10.0
837,6.725,2.49
838,6.73,50.0
839,6.731,50.0
840,6.75,1109.69
841,6.756,8.03
842,6.77,320.13
843,6.78,469.32
844,6.79,50.0
845,6.794,14.71
846,6.8,2029.56
847,6.807,235.63
848,6.81,10.0
849,6.839,32.46
850,6.846,97.48
851,6.85,144.88
852,6.856,205.0
853,6.857,8.03
854,6.864,28.36
855,6.88,17032.0
856,6.89,290.92
857,6.9,14730.69
858,6.91,24.84
859,6.92,0.73
860,6.924,1.0
861,6.95,13052.42
862,6.952,14.39
863,6.97,143.59
864,6.98,444.77
865,6.99,366.06
866,7.0,26623.89
867,7.07,316.09
868,7.1,256.29
869,7.111,3.23
870,7.14,100.93
871,7.15,3.83
872,7.19,24.0
873,7.2,9748.5
874,7.224,1.0
875,7.23,3.08
876,7.25,198.97
877,7.28,0.69
878,7.29,22.0
879,7.3,474.46
880,7.313,2708.55
881,7.326,14.02
882,7.35,354.92
883,7.37,604.91
884,7.39,62.45
885,7.391,95.66
886,7.4,122.71
887,7.42,20.0
888,7.44,250.0
889,7.444,465.18
890,7.45,434.02
891,7.456,85.4
892,7.47,621.72
893,7.48,45.0
894,7.49,130.0
895,7.499,3001.39
896,7.5,6265.87
897,7.528,7.77
898,7.55,8.03
899,7.555,3.83
